Question ID,Question,Answer ID
1,which is the most common use of opt-in e-mail marketing,1
2,how i.met your mother who is the mother,2
3,what type of fertilisation takes place in humans,3
4,who had the most wins in the nfl,4
5,what happened to the lost settlement of roanoke,5
6,what are the different regions of africa and how do they differ,6
7,who played mantis guardians of the galaxy 2,7
8,who did the voice of the magician in frosty the snowman,8
9,what indian tribe did the acadians form friendships and alliances with,9
10,what is considered the outer banks in north carolina,10
11,who is deputy cm of j and k,11
12,bangko sentral ng pilipinas (central bank of the philippines),12
13,actual time taken from start to finish to produce one unit of value,13
14,i had trouble in getting to solla sellew,14
15,ed sheeran i ' m in love with your body,15
16,the nashville sound brought a polished and cosmopolitan sound to country music by,16
17,the new atlantis a journal of technology and society,17
18,list the seven wonders of the modern world,18
19,rolling stone top bands of all time list,19
20,what channel is the premier league on in france,20
21,what is the use of jdk in java,21
22,who needs to be in the car with a permit driver,22
23,god's not dead a light in the darkness release date,23
24,who plays young flo in the progressive commercials,24
25,i love it (feat. charli xcx) icona pop,25
26,the u.s. supreme court hears appeals from circuit courts,26
27,ru pauls drag race all stars 2 episode 3,27
28,who is the current president of un general assembly,28
29,why does the author say that the vampire in nosferatu is named count orlok and not count dracula,29
30,what season does chris pratt join the office,30
31,when do they pull the powerball numbers 2016,31
32,when do the eclipse supposed to take place,32
33,what is the name of the sea surrounding dubai,33
34,who holds the nba record for most points in a career,34
35,when was all that is gold does not glitter written,35
36,what is the musical term for fast tempo,36
37,is there an active volcano in new zealand,37
38,once upon a time season 6 episode list,38
39,where is a georgia concealed carry permit valid,39
40,when does a tv show go into syndication,40
41,who was eliminated from big brother this week,41
42,when did the new maze runner movie come out,42
43,where does the san andres fault start and end,43
44,who is the former co-chairman goldman sachs who became a u.s. secretary of the treasury,44
45,how many players on a box lacrosse team,45
46,where are the upcoming olympics to be held,46
47,when did the nba 3 second rule start,47
48,when were the plus and minus signs first recorded,48
49,where does the phrase bob's your uncle come from,49
50,the one where chandler and monica get engaged,50
51,who won so you think you can dance 2016,51
